Physical Science
Alhazen, Optics
Archimedes, Works
Brian Greene, The Fabric of the Cosmos
Charles Sanders Peirce, “How to Make Our Ideas Clear”
Christian Huygens, Treatise on Light
Constance Reid, Hilbert
Copernicus, On the Revolutions
Daniel Boorstin, The Discoverers
Douglas Hofstadter, Godel, Escher, Bach: An Eternal Golden Braid 
E.F. Schumacher, Small is Beautiful
Freeman Dyson, Disturbing the Universe; Infinite in All Directions 
Albert Einstein, Relativity: The Special and General Theory 
Galileo, Letter to the Grand Duchess Christina; Assayer; Dialogue 
James Gleick, Chaos – Making a New Science
Johannes Kepler, Harmonies of the World
John Gribbin, The Scientists (Science, a History)
Madison Smartt Bell, Lavoisier in the Year One
Nicomachus of Gerasa, Introduction to Arithmetic
Oliver Sacks, Uncle Tungsten Musicophilia
Rene Descartes, Discourse on Method
Richard Feynman, QED: The Strange Theory of Light and Matter 
Richard Rhodes, The Making of the Atomic Bomb
Robert March, Physics for Poets
Sir Isaac Newton, Principia Mathematica*
Stephen Hawking, A Brief History of Time
Steven Weinberg, The First Three Minutes
Tracy Kidder, The Soul of a New Machine
Werner Heisenberg, Physics and Philosophy
William Harvey, Circulation of the Blood

Life Science
Alfred Crosby, The Columbian Exchange
Benoit Mandelbrot, The Fractile Geometry of Nature
Charles Darwin, The Origin of Species
George Gaylord Simpson, Splendid Isolation
Jacques Monod, The Origins of Molecular Biology
James D. Watson, The Double Helix
John Corner, The Life of Plants
John McPhee, Basin and Range
Lewis Thomas, Lives of a Cell
Margaret Talladge May, Galen on Usefulness of the Parts of the Body
Natalie Angier, The Canon
Orlando Beccari, Wanderings in the Great Forest of Borneo
Pliny the Elder, Natural History* 
Roger Bacon, Philosophy of Nature 
Sean B. Carroll, Into the Jungle 
Theophrastus, De Causis Plantarum 
Yann Martel, The Life of Pi

Social Science
Alasdair MacIntyre, After Virtue
Charles Taylor, Sources of the Self
Clifford Geertz, The Interpretation of Cultures
Emile Durkheim, The Elementary Forms of Religious Life
Erving Goffman, The Presentation of Self in Everyday Life
F.A. Hayek, Road to Serfdom S; Constitution of Liberty
Georg Simmel, Essays on Religion
Jacob Bronowski, Ascent of Man
John von Neumann and Oskar Morgenstern, The Theory of Games 
Max Weber, The Protestant Ethic and the Spirit of Capitalism 
Michel Foucault, Discipline and Punishment
P. Berger and T. Luckmann, The Social Construction of Reality 
Paul A. Samuelson, Foundations of Economic Analysis
Pierre Bourdieu, Distinction
Richard Lewontin, Human Diversity
Robert Bellah, et al., Habits of the Heart
Sir J.R. Hicks, Value and Capital
T.C. Koopmans, Three Essays on the State of Economic Science 
Thomas Kuhn, The Structure of Scientific Revolutions
W.E.B. Du Bois, The Souls of Black Folk
Zygmunt Bauman, Modernity and the Holocaust

Mathematics and Technology
Apollonius of Perga, On Conic Sections
Claude Shannon, The Mathematical Theory of Communication 
David Hilbert, The Foundations of Geometry
Edwin A. Abbott. Flatland
Euclid, Elements
G.H. Hardy, A Mathematician’s Apology
Jacob Klein, Greek Mathematical Thought & Origins of Algebra 
Leonard Euler, Introduction to Analysis of the Infinite
Paul Erdos, The Art of Counting
Paul Hoffman, The Man Who Loved Only Numbers
Ptolemy, Almagest
Richard Bellman, Eye of the Hurricane: An Autobiography 
Robert Kanigel, The Man Who Knew Infinity
Simon Singh, Fermat’s Last Theorem
Stephen M. Stigler, The History of Statistics
